date,version_downloads
2026-01-21,19
2026-01-22,402
2026-01-23,809
2026-01-24,946
2026-01-25,1232
2026-01-26,1555
2026-01-27,2039
2026-01-28,2655
2026-01-29,3024
2026-01-30,3408
2026-01-31,3540
2026-02-01,3826
2026-02-02,4259
2026-02-03,4773
2026-02-04,5138
2026-02-05,5667
2026-02-06,5990
2026-02-07,6108
2026-02-08,6357
2026-02-09,6779
2026-02-10,7223
2026-02-15,8839
2026-02-16,9144
2026-02-17,9528
2026-02-18,9953
2026-02-19,10385
2026-02-20,10656
2026-02-21,10853
2026-02-22,11069
2026-02-23,11534
2026-02-24,12024
2026-02-25,12459
2026-02-26,12828
2026-02-27,13139
2026-02-28,13357
2026-03-01,13557
2026-03-02,13946
2026-03-03,14177
2026-03-04,14620
2026-03-05,14901
2026-03-06,15271
2026-03-07,15436
2026-03-08,15625
2026-03-09,15976
2026-03-10,16359
2026-03-11,16677
2026-03-12,17094
2026-03-13,17363
2026-03-14,17476
