date,asset_downloads,sha512sum_downloads
2025-10-25,21466,795842
2025-10-26,21466,795842
2025-10-27,21466,795842
2025-10-28,21466,795842
2025-10-29,21466,795842
2025-10-30,21466,795842
2025-10-31,21466,795842
2025-11-01,21466,795842
2025-11-02,21466,795842
2025-11-03,21466,795842
2025-11-04,21466,795842
2025-11-05,21466,795842
2025-11-06,21466,795842
2025-11-07,21466,795842
2025-11-08,21466,795842
2025-11-09,21466,795842
2025-11-10,21466,795842
2025-11-11,21466,795842
2025-11-12,21466,795842
2025-11-13,21466,795842
2025-11-14,21466,795842
2025-11-15,21466,795842
2025-11-16,21466,795842
2025-11-17,21466,795842
2025-11-18,21466,795842
2025-11-19,21466,795842
2025-11-20,21466,795842
2025-11-21,21466,795842
2025-11-22,21466,795842
2025-11-23,21466,795842
2025-11-24,21466,795842
2025-11-25,21466,795842
2025-12-12,21467,795842
2025-12-13,21467,795842
2025-12-14,21467,795842
2025-12-15,21467,795842
2025-12-16,21467,795842
2025-12-17,21467,795842
2025-12-18,21467,795842
2025-12-19,21467,795842
2025-12-20,21467,795842
2025-12-21,21467,795842
2025-12-22,21467,795842
2025-12-23,21467,795842
2025-12-24,21467,795842
2025-12-25,21467,795842
