date,asset_downloads,sha512sum_downloads
2025-10-25,1439,9
2025-10-26,1439,9
2025-10-27,1439,9
2025-10-28,1439,9
2025-10-29,1439,9
2025-10-30,1439,9
2025-10-31,1439,9
2025-11-01,1439,9
2025-11-02,1439,9
2025-11-03,1439,9
2025-11-04,1439,9
2025-11-05,1439,9
2025-11-06,1439,9
2025-11-07,1439,9
2025-11-08,1439,9
2025-11-09,1439,9
2025-11-10,1439,9
2025-11-11,1439,9
2025-11-12,1439,9
2025-11-13,1439,9
2025-11-14,1439,9
2025-11-15,1439,9
2025-11-16,1439,9
2025-11-17,1439,9
2025-11-18,1439,9
2025-11-19,1439,9
2025-11-20,1439,9
2025-11-21,1439,9
2025-11-22,1439,9
2025-11-23,1439,9
2025-11-24,1439,9
2025-11-25,1439,9
2025-11-26,1439,9
2025-11-27,1439,9
2025-11-28,1439,9
2025-11-29,1439,9
2025-11-30,1439,9
2025-12-01,1439,9
2025-12-02,1439,9
2025-12-03,1439,9
2025-12-04,1439,9
2025-12-05,1439,9
2025-12-06,1439,9
2025-12-07,1439,9
2025-12-08,1439,9
2025-12-09,1439,9
2025-12-10,1440,9
2025-12-11,1440,9
2025-12-12,1440,9
2025-12-13,1440,9
2025-12-14,1440,9
2025-12-15,1440,9
2025-12-16,1440,9
2025-12-17,1440,9
2025-12-18,1440,9
2025-12-19,1440,9
2025-12-20,1440,9
2025-12-21,1440,9
2025-12-22,1440,9
2025-12-23,1440,9
2025-12-24,1440,9
2025-12-25,1440,9
2025-12-26,1440,9
2025-12-27,1440,9
2025-12-28,1440,9
2025-12-29,1440,9
2025-12-30,1440,9
2025-12-31,1440,9
2026-01-01,1440,9
2026-01-02,1440,9
2026-01-03,1440,9
2026-01-04,1440,9
2026-01-05,1440,9
2026-01-06,1440,9
2026-01-07,1441,10
2026-01-08,1441,10
2026-01-09,1441,10
2026-01-10,1441,10
2026-01-11,1441,10
2026-01-12,1441,10
2026-01-13,1441,10
2026-01-14,1441,10
2026-01-15,1441,10
2026-01-16,1441,10
2026-01-17,1441,10
2026-01-18,1441,10
2026-01-19,1441,10
2026-01-20,1441,10
2026-01-21,1441,10
2026-01-22,1441,10
2026-01-23,1441,10
2026-01-24,1441,10
2026-01-25,1441,10
2026-01-26,1442,11
2026-01-27,1442,11
2026-01-28,1442,11
2026-01-29,1442,11
2026-01-30,1443,12
2026-01-31,1443,12
2026-02-01,1446,13
2026-02-02,1446,13
2026-02-03,1447,14
2026-02-04,1447,14
2026-02-05,1447,14
2026-02-06,1447,14
2026-02-07,1447,14
2026-02-08,1447,14
2026-02-09,1447,14
2026-02-10,1447,14
2026-02-15,1447,14
2026-02-16,1447,14
2026-02-17,1447,14
2026-02-18,1447,14
2026-02-19,1447,14
2026-02-20,1447,14
2026-02-21,1447,14
2026-02-22,1447,14
2026-02-23,1447,14
2026-02-24,1447,14
2026-02-25,1447,14
2026-02-26,1447,14
2026-02-27,1447,14
2026-02-28,1447,14
2026-03-01,1447,14
2026-03-02,1447,14
2026-03-03,1447,14
2026-03-04,1447,14
2026-03-05,1447,14
2026-03-06,1447,14
2026-03-07,1447,14
2026-03-08,1447,14
