date,30d,90d,365d
2025-10-28,3076,9120,45432
2025-10-29,3053,9128,45363
2025-10-30,3040,9132,45282
2025-10-31,3000,9147,45201
2025-11-01,2997,9156,45145
2025-11-02,2996,9114,45109
2025-11-03,3022,9108,45072
2025-11-04,3025,9086,44955
2025-11-05,3011,9092,44878
2025-11-06,3001,9105,44798
2025-11-07,2988,9114,44699
2025-11-08,2960,9115,44617
2025-11-09,2940,9103,44567
2025-11-10,2940,9089,44557
2025-11-11,2949,9091,44478
2025-11-12,2932,9086,44378
2025-11-13,2936,9084,44292
2025-11-14,2919,9072,44212
2025-11-15,2876,9055,44130
2025-11-16,2854,9008,44115
2025-11-17,2870,8974,44079
2025-11-18,2869,8948,43981
2025-11-19,2847,8886,43885
2025-11-20,2796,8866,43786
2025-11-21,2753,8859,43713
2025-11-22,2692,8826,43648
2025-11-23,2681,8775,43588
2025-11-24,2684,8772,43559
2025-11-25,2672,8760,43486
2025-11-26,2665,8744,43390
2025-11-27,2633,8727,43309
2025-11-28,2615,8736,43276
2025-11-29,2601,8729,43212
2025-11-30,2616,8725,43198
2025-12-01,2641,8714,43172
2025-12-02,2663,8685,43124
2025-12-03,2669,8682,43071
2025-12-04,2675,8683,43004
2025-12-05,2663,8713,42927
2025-12-06,2621,8673,42842
2025-12-07,2598,8628,42780
2025-12-08,2615,8610,42762
2025-12-09,2633,8590,42702
2025-12-10,2614,8515,42614
2025-12-11,2601,8507,42565
2025-12-12,2582,8491,42509
2025-12-13,2547,8458,42445
2025-12-14,2530,8437,42424
2025-12-15,2537,8413,42391
2025-12-16,2539,8389,42320
2025-12-17,2513,8342,42225
2025-12-18,2510,8335,42197
2025-12-19,2484,8333,42108
2025-12-20,2466,8307,42066
2025-12-21,2458,8253,42048
2025-12-22,2454,8202,42026
2025-12-23,2456,8152,41957
2025-12-24,2408,8096,41906
2025-12-25,2392,8065,41871
2025-12-26,2371,8077,41822
2025-12-27,2336,8045,41732
2025-12-28,2303,7971,41673
2025-12-29,2293,7936,41605
2025-12-30,2280,7897,41533
2025-12-31,2232,7870,41481
2026-01-01,2189,7848,41449
2026-01-02,2150,7841,41385
2026-01-03,2123,7823,41338
2026-01-04,2115,7789,41311
2026-01-05,2147,7769,41298
2026-01-06,2164,7748,41233
2026-01-07,2143,7719,41159
2026-01-08,2139,7713,41031
2026-01-09,2132,7685,40908
2026-01-10,2112,7662,40821
2026-01-11,2090,7604,40758
2026-01-12,2086,7611,40770
2026-01-13,2086,7611,40770
