date,30d,90d,365d
2025-10-27,2264,7160,31091
2025-10-28,2314,7122,31058
2025-10-29,2285,7096,31039
2025-10-30,2270,7108,30998
2025-10-31,2205,7153,30966
2025-11-01,2138,7134,30935
2025-11-02,2103,7066,30965
2025-11-03,2205,7069,31070
2025-11-04,2296,7082,31085
2025-11-05,2288,7106,31100
2025-11-06,2302,7166,31113
2025-11-07,2255,7207,31068
2025-11-08,2206,7197,31031
2025-11-09,2193,7140,31064
2025-11-10,2286,7159,31147
2025-11-11,2369,7189,31175
2025-11-12,2399,7245,31198
2025-11-13,2423,7299,31199
2025-11-14,2401,7376,31196
2025-11-15,2345,7357,31145
2025-11-16,2329,7296,31178
2025-11-17,2426,7303,31264
2025-11-18,2492,7273,31232
2025-11-19,2516,7299,31274
2025-11-20,2522,7338,31287
2025-11-21,2484,7395,31274
2025-11-22,2406,7369,31210
2025-11-23,2376,7272,31225
2025-11-24,2443,7234,31285
2025-11-25,2506,7222,31268
2025-11-26,2523,7224,31269
2025-11-27,2513,7224,31280
2025-11-28,2499,7277,31282
2025-11-29,2455,7256,31263
2025-11-30,2451,7199,31302
2025-12-01,2561,7233,31392
2025-12-02,2653,7231,31421
2025-12-03,2632,7212,31416
2025-12-04,2643,7265,31442
2025-12-05,2614,7326,31419
2025-12-06,2500,7302,31368
2025-12-07,2483,7246,31392
2025-12-08,2585,7283,31480
2025-12-09,2694,7351,31501
2025-12-10,2736,7407,31553
2025-12-11,2742,7441,31578
2025-12-12,2712,7512,31566
2025-12-13,2618,7502,31526
2025-12-14,2554,7420,31529
2025-12-15,2608,7371,31579
2025-12-16,2649,7345,31577
2025-12-17,2652,7371,31608
2025-12-18,2664,7404,31614
2025-12-19,2592,7437,31571
2025-12-20,2505,7413,31517
2025-12-21,2464,7344,31523
2025-12-22,2529,7289,31577
2025-12-23,2560,7220,31570
2025-12-24,2506,7155,31562
2025-12-25,2429,7118,31557
2025-12-26,2342,7129,31546
2025-12-27,2272,7099,31520
2025-12-28,2224,7009,31535
2025-12-29,2274,6998,31587
2025-12-30,2287,6942,31603
2025-12-31,2184,6882,31619
2026-01-01,2065,6821,31612
2026-01-02,2002,6838,31586
2026-01-03,1883,6822,31552
2026-01-04,1828,6729,31563
2026-01-05,2004,6806,31714
2026-01-06,2150,6883,31764
2026-01-07,2240,7030,31843
2026-01-08,2308,7195,31886
2026-01-09,2295,7319,31871
2026-01-10,2195,7305,31753
2026-01-11,2136,7245,31759
2026-01-12,2127,7250,31745
2026-01-13,2127,7250,31745
2026-01-14,2558,7511,31992
2026-01-15,2663,7641,32055
2026-01-16,2674,7753,32052
2026-01-17,2586,7742,31984
2026-01-18,2581,7689,32010
2026-01-19,2813,7839,32195
2026-01-20,2993,7941,32288
2026-01-21,3169,8103,32389
2026-01-22,3357,8293,32511
2026-01-23,3482,8431,32523
2026-01-24,3485,8419,32449
2026-01-25,3505,8368,32465
2026-01-26,3698,8484,32614
2026-01-27,3889,8612,32673
2026-01-28,3906,8634,32630
2026-01-29,3934,8671,32597
2026-01-30,3952,8697,32543
2026-01-31,3963,8682,32487
2026-02-01,4001,8634,32527
2026-02-02,4128,8654,32628
2026-02-03,4229,8671,32637
2026-02-04,4194,8701,32680
2026-02-05,4151,8783,32687
2026-02-06,4001,8826,32641
2026-02-07,3805,8807,32576
2026-02-08,3706,8731,32599
2026-02-09,3815,8750,32674
2026-02-10,3881,8729,32677
2026-02-15,3352,8676,32353
2026-02-16,3434,8682,32412
2026-02-17,3472,8647,32414
2026-02-18,3354,8674,32393
2026-02-19,3270,8727,32374
2026-02-20,3094,8792,32317
2026-02-21,2867,8784,32247
2026-02-22,2737,8724,32259
2026-02-23,2828,8738,32342
2026-02-24,2890,8740,32337
2026-02-25,2793,8764,32310
