date,asset_downloads,sha512sum_downloads
2025-10-25,329,19
2025-10-26,329,19
2025-10-27,329,19
2025-10-28,329,19
2025-10-29,329,19
2025-10-30,329,19
2025-10-31,329,19
2025-11-01,329,19
2025-11-02,329,19
2025-11-03,329,19
2025-11-04,329,19
2025-11-05,329,19
2025-11-06,329,19
2025-11-07,329,19
2025-11-08,329,19
2025-11-09,329,19
2025-11-10,329,19
2025-11-11,329,19
2025-11-12,329,19
2025-11-13,329,19
2025-11-14,329,19
2025-11-15,329,19
2025-11-16,329,19
2025-11-17,329,19
2025-11-18,329,19
2025-11-19,329,19
2025-11-20,329,19
2025-11-21,329,19
2025-11-22,329,19
2025-11-23,329,19
2025-11-24,329,19
2025-11-25,329,19
2025-11-26,329,19
2025-11-27,329,19
2025-11-28,329,19
2025-11-29,329,19
2025-11-30,329,19
2025-12-01,329,19
2025-12-02,329,19
2025-12-03,329,19
2025-12-04,329,19
2025-12-05,329,19
2025-12-06,329,19
2025-12-07,329,19
2025-12-08,329,19
2025-12-09,329,19
2025-12-10,329,19
2025-12-11,329,19
2025-12-12,329,19
2025-12-13,329,19
2025-12-14,329,19
2025-12-15,329,19
2025-12-16,329,19
2025-12-17,329,19
2025-12-18,329,19
2025-12-19,329,19
2025-12-20,329,19
2025-12-21,329,19
2025-12-22,329,19
2025-12-23,329,19
2025-12-24,329,19
2025-12-25,329,19
2025-12-26,329,19
2025-12-27,329,19
2025-12-28,329,19
2025-12-29,329,19
2025-12-30,329,19
2025-12-31,329,19
2026-01-01,329,19
2026-01-02,329,19
2026-01-03,329,19
2026-01-04,329,19
2026-01-05,329,19
2026-01-06,329,19
2026-01-07,330,20
2026-01-08,330,20
2026-01-09,330,20
2026-01-10,330,20
2026-01-11,330,20
