date,asset_downloads,sha512sum_downloads
2025-10-25,11805,23
2025-10-26,11807,23
2025-10-27,11808,23
2025-10-28,11809,23
2025-10-29,11812,23
2025-10-30,11813,23
2025-10-31,11814,23
2025-11-01,11817,23
2025-11-02,11818,23
2025-11-03,11819,23
2025-11-04,11820,23
2025-11-05,11821,23
2025-11-06,11822,23
2025-11-07,11823,23
2025-11-08,11824,23
2025-11-09,11825,23
2025-11-10,11826,23
2025-11-11,11827,23
2025-11-12,11828,23
2025-11-13,11829,23
2025-11-14,11830,23
2025-11-15,11832,23
2025-11-16,11833,23
2025-11-17,11834,23
2025-11-18,11836,23
2025-11-19,11837,23
2025-11-20,11838,23
2025-11-21,11839,23
2025-11-22,11840,23
2025-11-23,11841,23
2025-11-24,11842,23
2025-11-25,11843,23
2025-11-26,11844,23
2025-11-27,11846,23
2025-11-28,11847,23
2025-11-29,11848,23
2025-11-30,11848,23
2025-12-01,11849,23
2025-12-02,11850,23
2025-12-03,11851,23
2025-12-04,11852,23
2025-12-05,11853,23
2025-12-06,11854,23
2025-12-07,11855,23
2025-12-08,11856,23
2025-12-09,11857,23
2025-12-10,11858,23
2025-12-11,11859,23
2025-12-12,11860,24
2025-12-13,11861,24
2025-12-14,11863,24
2025-12-15,11865,24
2025-12-16,11868,24
2025-12-17,11869,24
2025-12-18,11871,24
2025-12-19,11872,24
2025-12-20,11873,24
2025-12-21,11874,24
2025-12-22,11875,24
2025-12-23,11876,24
2025-12-24,11878,24
2025-12-25,11879,24
2025-12-26,11880,24
2025-12-27,11881,24
2025-12-28,11882,24
2025-12-29,11884,24
2025-12-30,11885,24
2025-12-31,11888,24
2026-01-01,11889,24
2026-01-02,11890,24
2026-01-03,11891,24
2026-01-04,11892,24
2026-01-05,11893,24
2026-01-06,11894,24
2026-01-07,11896,25
2026-01-08,11897,25
2026-01-09,11898,25
