date,asset_downloads,sha512sum_downloads
2026-05-13,6327,8567
2026-05-14,15608,30004
2026-05-15,20047,48153
2026-05-16,21789,62642
2026-05-18,27139,83708
2026-05-19,38897,138390
2026-05-21,47955,193870
2026-05-22,50229,216113
2026-05-23,51209,234861
2026-05-25,53642,258053
2026-05-27,60887,315658
2026-05-28,64041,346087
2026-05-29,68617,399693
2026-05-30,69302,420767
2026-06-01,71644,448251
2026-06-02,74731,473366
2026-06-03,77870,502542
2026-06-04,80443,527962
2026-06-05,84074,565637
2026-06-06,84629,580210
2026-06-08,86592,600895
2026-06-09,89086,627821
2026-06-10,91165,649546
2026-06-11,93219,670566
2026-06-12,96065,708930
2026-06-13,96494,722248
2026-06-15,98004,741218
2026-06-16,99419,756163
2026-06-17,101050,776519
2026-06-18,102492,793891
2026-06-19,103843,812615
