date,asset_downloads,sha512sum_downloads
2025-10-25,26501,27
2025-10-26,26502,27
2025-10-27,26505,27
2025-10-28,26505,27
2025-10-29,26507,27
2025-10-30,26507,27
2025-10-31,26508,27
2025-11-01,26508,27
2025-11-02,26508,27
2025-11-03,26508,27
2025-11-04,26508,27
2025-11-05,26508,27
2025-11-06,26510,27
2025-11-07,26512,27
2025-11-08,26512,27
2025-11-09,26512,27
2025-11-10,26512,27
2025-11-11,26514,27
2025-11-12,26516,27
2025-11-13,26517,27
2025-11-14,26518,27
2025-11-15,26518,27
2025-11-16,26519,27
2025-11-17,26521,27
2025-11-18,26522,27
2025-11-19,26522,27
2025-11-20,26522,27
2025-11-21,26522,27
2025-11-22,26522,27
