date,asset_downloads,sha512sum_downloads
2025-10-25,3378,9
2025-10-26,3378,9
2025-10-27,3378,9
2025-10-28,3378,9
2025-10-29,3378,9
2025-10-30,3381,9
2025-10-31,3381,9
2025-11-01,3381,9
2025-11-02,3381,9
2025-11-03,3381,9
2025-11-04,3381,9
2025-11-05,3381,9
2025-11-06,3381,9
2025-11-07,3381,9
2025-11-08,3381,9
2025-11-09,3381,9
2025-11-10,3381,9
2025-11-11,3383,9
2025-11-12,3383,9
2025-11-13,3383,9
2025-11-14,3383,9
2025-11-15,3383,9
2025-11-16,3383,9
2025-11-17,3383,9
2025-11-18,3384,9
2025-11-19,3384,9
2025-11-20,3384,9
2025-11-21,3384,9
2025-11-22,3384,9
2025-11-23,3384,9
2025-11-24,3384,9
2025-11-25,3384,9
2025-11-26,3384,9
2025-11-27,3384,9
2025-11-28,3384,9
2025-11-29,3384,9
2025-11-30,3384,9
2025-12-01,3384,9
2025-12-02,3384,9
2025-12-03,3384,9
2025-12-04,3384,9
2025-12-05,3384,9
2025-12-06,3384,9
2025-12-07,3384,9
2025-12-08,3384,9
2025-12-09,3384,9
2025-12-10,3384,9
2025-12-11,3384,9
2025-12-12,3384,9
2025-12-13,3384,9
2025-12-14,3384,9
2025-12-15,3384,9
2025-12-16,3384,9
2025-12-17,3384,9
2025-12-18,3384,9
2025-12-19,3384,9
2025-12-20,3384,9
2025-12-21,3384,9
2025-12-22,3384,9
2025-12-23,3384,9
2025-12-24,3384,9
2025-12-25,3384,9
2025-12-26,3384,9
2025-12-27,3384,9
2025-12-28,3384,9
