date,asset_downloads,sha512sum_downloads
2026-06-29,804,7
2026-07-01,3062,15
2026-07-02,4253,17
2026-07-03,4715,19
2026-07-04,4977,23
2026-07-06,5955,30
2026-07-07,6358,33
2026-07-08,13208,16224
2026-07-09,20577,44317
2026-07-10,23865,67135
2026-07-11,25128,88153
2026-07-13,34157,133234
2026-07-14,38862,161240
2026-07-15,42682,187280
2026-07-16,46283,209745
2026-07-17,48362,228062
2026-07-18,49171,244076
2026-07-19,51308,264453
2026-07-20,54969,292121
2026-07-21,58119,321915
2026-07-22,60985,352188
2026-07-23,63594,382389
2026-07-24,65032,407936
2026-07-25,65620,430075
2026-07-27,69984,485459
2026-07-28,71379,505971
2026-07-29,72726,520531
2026-07-30,72730,520531
2026-07-31,72730,520531
2026-08-01,72730,520531
2026-08-03,72731,520532
2026-08-04,72734,520533
