date,asset_downloads,sha512sum_downloads
2025-10-25,1443,8
2025-10-26,1443,8
2025-10-27,1443,8
2025-10-28,1443,8
2025-10-29,1443,8
2025-10-30,1443,8
2025-10-31,1443,8
2025-11-01,1443,8
2025-11-02,1443,8
2025-11-03,1443,8
2025-11-04,1443,8
2025-11-05,1443,8
2025-11-06,1443,8
2025-11-07,1443,8
2025-11-08,1443,8
2025-11-09,1443,8
2025-11-10,1443,8
2025-11-11,1443,8
2025-11-12,1443,8
2025-11-13,1443,8
2025-11-14,1443,8
2025-11-15,1443,8
2025-11-16,1443,8
2025-11-17,1443,8
2025-11-18,1443,8
2025-11-19,1443,8
2025-11-20,1443,8
2025-11-21,1443,8
2025-11-22,1443,8
2025-11-23,1443,8
2025-11-24,1443,8
2025-11-25,1443,8
2025-11-26,1443,8
2025-11-27,1443,8
2025-11-28,1443,8
2025-11-29,1443,8
2025-11-30,1443,8
2025-12-01,1443,8
2025-12-02,1443,8
2025-12-03,1443,8
2025-12-04,1443,8
2025-12-05,1443,8
2025-12-06,1443,8
2025-12-07,1443,8
2025-12-08,1443,8
2025-12-09,1444,8
2025-12-10,1444,8
2025-12-11,1444,8
2025-12-12,1444,8
2025-12-13,1444,8
2025-12-14,1444,8
2025-12-15,1444,8
2025-12-16,1444,8
2025-12-17,1444,8
2025-12-18,1444,8
2025-12-19,1444,8
2025-12-20,1444,8
2025-12-21,1444,8
2025-12-22,1444,8
2025-12-23,1444,8
2025-12-24,1444,8
2025-12-25,1444,8
2025-12-26,1444,8
2025-12-27,1444,8
2025-12-28,1444,8
2025-12-29,1444,8
2025-12-30,1444,8
2025-12-31,1444,8
2026-01-01,1444,8
2026-01-02,1444,8
2026-01-03,1444,8
2026-01-04,1444,8
2026-01-05,1444,8
2026-01-06,1444,8
2026-01-07,1445,9
2026-01-08,1445,9
2026-01-09,1445,9
2026-01-10,1445,9
2026-01-11,1445,9
2026-01-12,1445,9
2026-01-13,1445,9
2026-01-14,1445,9
2026-01-15,1445,9
2026-01-16,1445,9
2026-01-17,1445,9
2026-01-18,1445,9
2026-01-19,1445,9
2026-01-20,1445,9
2026-01-21,1445,9
2026-01-22,1445,9
2026-01-23,1445,9
2026-01-24,1445,9
