date,asset_downloads,sha512sum_downloads
2025-10-25,67152,428198
2025-10-26,67155,428198
2025-10-27,67158,428198
2025-10-28,67162,428198
2025-10-29,67170,428198
2025-10-30,67173,428198
2025-10-31,67183,428198
2025-11-01,67185,428198
2025-11-02,67187,428198
2025-11-03,67193,428198
2025-11-04,67195,428198
2025-11-05,67199,428198
2025-11-06,67203,428198
2025-11-07,67208,428198
2025-11-08,67209,428198
2025-11-09,67213,428198
2025-11-10,67216,428198
2025-11-11,67222,428198
2025-11-12,67228,428198
2025-11-13,67231,428198
2025-11-14,67234,428198
2025-11-15,67235,428198
2025-11-16,67236,428198
2025-11-17,67243,428198
2025-11-18,67246,428198
2025-11-19,67254,428198
2025-11-20,67258,428198
2025-11-21,67261,428198
2025-11-22,67265,428198
2025-11-23,67268,428198
2025-11-24,67271,428198
2025-11-25,67276,428198
2025-11-26,67278,428198
2025-11-27,67283,428198
2025-11-28,67288,428198
2025-11-29,67292,428198
2025-11-30,67294,428198
2025-12-01,67299,428198
2025-12-02,67304,428198
