date,asset_downloads,sha512sum_downloads
2025-10-25,1458,10
2025-10-26,1460,10
2025-10-27,1461,10
2025-10-28,1462,10
2025-10-29,1463,10
2025-10-30,1464,10
2025-10-31,1465,10
2025-11-01,1466,10
2025-11-02,1467,10
2025-11-03,1468,10
2025-11-04,1469,10
2025-11-05,1470,10
2025-11-06,1471,10
2025-11-07,1472,10
2025-11-08,1473,10
2025-11-09,1474,10
2025-11-10,1475,10
2025-11-11,1476,10
2025-11-12,1477,10
2025-11-13,1478,10
2025-11-14,1479,10
2025-11-15,1480,10
2025-11-16,1482,10
2025-11-17,1483,10
2025-11-18,1484,10
2025-11-19,1485,10
2025-11-20,1490,10
2025-11-21,1491,10
2025-11-22,1492,10
2025-11-23,1494,10
2025-11-24,1495,10
2025-11-25,1496,10
2025-11-26,1497,10
2025-11-27,1498,10
2025-11-28,1499,10
2025-11-29,1500,10
2025-11-30,1500,10
2025-12-01,1501,10
2025-12-02,1502,10
2025-12-03,1503,10
2025-12-04,1504,10
2025-12-05,1505,10
2025-12-06,1506,10
2025-12-07,1508,10
2025-12-08,1509,10
2025-12-09,1510,10
2025-12-10,1511,10
2025-12-11,1512,10
2025-12-12,1513,10
2025-12-13,1515,10
2025-12-14,1516,10
2025-12-15,1519,10
2025-12-16,1522,10
2025-12-17,1523,10
2025-12-18,1524,10
2025-12-19,1525,10
2025-12-20,1526,10
2025-12-21,1527,10
2025-12-22,1528,10
2025-12-23,1529,10
2025-12-24,1530,10
2025-12-25,1531,10
2025-12-26,1532,10
2025-12-27,1533,10
2025-12-28,1534,10
2025-12-29,1535,10
2025-12-30,1536,10
2025-12-31,1537,10
2026-01-01,1538,10
2026-01-02,1539,10
2026-01-03,1541,10
2026-01-04,1542,10
2026-01-05,1543,10
2026-01-06,1544,10
2026-01-07,1546,11
2026-01-08,1548,11
2026-01-09,1549,11
2026-01-10,1554,11
2026-01-11,1558,11
2026-01-12,1571,11
2026-01-13,1575,11
2026-01-14,1576,11
2026-01-15,1577,11
2026-01-16,1577,11
2026-01-17,1578,11
2026-01-18,1579,11
2026-01-19,1580,11
2026-01-20,1581,11
2026-01-21,1582,11
2026-01-22,1585,11
2026-01-23,1586,11
2026-01-24,1587,11
2026-01-25,1590,11
2026-01-26,1594,12
2026-01-27,1596,12
2026-01-28,1597,12
2026-01-29,1598,12
2026-01-30,1603,13
2026-01-31,1604,13
2026-02-01,1605,13
2026-02-02,1606,13
2026-02-03,1608,14
2026-02-04,1609,14
2026-02-05,1610,14
2026-02-06,1611,14
2026-02-07,1613,14
2026-02-08,1614,15
2026-02-09,1615,15
2026-02-10,1617,15
2026-02-15,1622,15
2026-02-16,1623,15
2026-02-17,1624,15
2026-02-18,1625,15
2026-02-19,1626,15
2026-02-20,1627,15
2026-02-21,1628,15
2026-02-22,1629,15
2026-02-23,1631,15
2026-02-24,1632,15
2026-02-25,1635,15
2026-02-26,1638,15
2026-02-27,1639,15
2026-02-28,1641,15
2026-03-01,1643,15
2026-03-02,1644,15
2026-03-03,1644,15
2026-03-04,1645,15
2026-03-05,1646,15
